name,birthday,nationality
Tom Hanks,9/06/1956,USA
Meryl Streep,22/05/1949,USA
Denzel Washington,28/12/1954,USA
Cate Blanchett,14/05/1969,AUS
Leonardo DiCaprio,11/11/1974,USA
Helen Mirren,26/06/1945,UK
Brad Pitt,18/12/1963,USA
Natalie Portman,9/06/1981,ISR
Morgan Freeman,1/06/1937,USA
Jennifer Lawrence,15/08/1990,USA
Anthony Hopkins,31/12/1937,UK
Nicole Kidman,20/06/1967,USA
Johnny Depp,9/06/1963,USA
Julia Roberts,28/09/1967,USA
Will Smith,25/09/1968,USA
Charlize Theron,7/08/1975,ZAF
Robert De Niro,17/08/1943,USA
Kate Winslet,5/10/1975,UK
Al Pacino,25/04/1940,USA
Emma Stone,6/11/1988,USA
Daniel Day-Lewis,29/04/1957,UK
Scarlett Johansson,22/11/1984,USA
Liam Neeson,7/06/1952,NFK
Sandra Bullock,26/06/1964,USA
Christian Bale,30/01/1974,UK
Emma Watson,15/04/1990,UK
Sean Connery,25/08/1930,SLD
Angelina Jolie,4/06/1975,USA
Matt Damon,8/09/1970,USA
Jennifer Aniston,11/02/1969,USA
Keanu Reeves,2/09/1964,USA
Anne Hathaway,12/11/1982,USA
Russell Crowe,7/04/1964,NZL
Jude Law,29/12/1972,UK
Tom Cruise,3/07/1962,USA
Jamie Foxx,13/12/1967,USA
Penélope Cruz,28/04/1974,EPN
Jack Nicholson,22/04/1937,USA
Saoirse Ronan,12/04/1994,IRA
Kevin Spacey,26/06/1959,USA
Julianne Moore,3/12/1960,USA
Ben Affleck,15/08/1972,USA
Gwyneth Paltrow,27/09/1972,USA
Ryan Gosling,12/11/1980,CA
Rachel McAdams,17/11/1978,CA
Eddie Redmayne,6/01/1982,UK
Halle Berry,14/08/1966,USA
Jake Gyllenhaal,19/12/1980,USA
Michelle Pfeiffer,29/04/1958,USA
Marion Cotillard,30/09/1975,FRA
